,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name
6357,5KPTFXZ1mryOGaY3yI9oMY,0.692,0.892,2,-5.325,1,0.0972,4.29e-05,0,0.143,0.455,102.013,audio_features,5KPTFXZ1mryOGaY3yI9oMY,spotify:track:5KPTFXZ1mryOGaY3yI9oMY,https://api.spotify.com/v1/tracks/5KPTFXZ1mryOGaY3yI9oMY,https://api.spotify.com/v1/audio-analysis/5KPTFXZ1mryOGaY3yI9oMY,191333,4,Raise Some Hell
6358,1vr06aKw6dKzQT64IZq7kg,0.787,0.603,4,-6.458,0,0.0529,0.00872,3.61e-06,0.108,0.826,120.013,audio_features,1vr06aKw6dKzQT64IZq7kg,spotify:track:1vr06aKw6dKzQT64IZq7kg,https://api.spotify.com/v1/tracks/1vr06aKw6dKzQT64IZq7kg,https://api.spotify.com/v1/audio-analysis/1vr06aKw6dKzQT64IZq7kg,194760,4,What She Does to Me
6359,25gQfAwNILmCFFY78tw1au,0.459,0.697,2,-7.438,1,0.0805,0.0296,0.000251,0.118,0.128,176.212,audio_features,25gQfAwNILmCFFY78tw1au,spotify:track:25gQfAwNILmCFFY78tw1au,https://api.spotify.com/v1/tracks/25gQfAwNILmCFFY78tw1au,https://api.spotify.com/v1/audio-analysis/25gQfAwNILmCFFY78tw1au,184293,4,Feel No Pain (feat. Danny Boone)
6360,1XTZE9wJLqtaSUiFKk96PJ,0.725,0.714,4,-7.641,1,0.143,0.153,0,0.475,0.601,105.084,audio_features,1XTZE9wJLqtaSUiFKk96PJ,spotify:track:1XTZE9wJLqtaSUiFKk96PJ,https://api.spotify.com/v1/tracks/1XTZE9wJLqtaSUiFKk96PJ,https://api.spotify.com/v1/audio-analysis/1XTZE9wJLqtaSUiFKk96PJ,162733,4,On My Way
6361,6Udgkr36XlVmsHZ0uzKvL5,0.668,0.693,6,-6.348,1,0.0694,0.0968,0,0.099,0.526,90.005,audio_features,6Udgkr36XlVmsHZ0uzKvL5,spotify:track:6Udgkr36XlVmsHZ0uzKvL5,https://api.spotify.com/v1/tracks/6Udgkr36XlVmsHZ0uzKvL5,https://api.spotify.com/v1/audio-analysis/6Udgkr36XlVmsHZ0uzKvL5,188467,4,Much Better
6362,7mLVjMZ8fqv8ZdsTwKq4lr,0.492,0.658,6,-7.677,1,0.0993,0.222,0,0.353,0.544,74.92,audio_features,7mLVjMZ8fqv8ZdsTwKq4lr,spotify:track:7mLVjMZ8fqv8ZdsTwKq4lr,https://api.spotify.com/v1/tracks/7mLVjMZ8fqv8ZdsTwKq4lr,https://api.spotify.com/v1/audio-analysis/7mLVjMZ8fqv8ZdsTwKq4lr,240573,4,Wrong Side of the Street (feat. Durwood Black)
6363,3QuEdDOR7vDjgCSpAuZIcb,0.805,0.698,9,-5.354,1,0.197,0.00836,0.000138,0.0888,0.314,107.974,audio_features,3QuEdDOR7vDjgCSpAuZIcb,spotify:track:3QuEdDOR7vDjgCSpAuZIcb,https://api.spotify.com/v1/tracks/3QuEdDOR7vDjgCSpAuZIcb,https://api.spotify.com/v1/audio-analysis/3QuEdDOR7vDjgCSpAuZIcb,189933,4,86
6364,3XDJAN1UaoTjAhYNPgKsD1,0.847,0.832,7,-6.044,1,0.137,0.0332,0,0.0858,0.75,99.98,audio_features,3XDJAN1UaoTjAhYNPgKsD1,spotify:track:3XDJAN1UaoTjAhYNPgKsD1,https://api.spotify.com/v1/tracks/3XDJAN1UaoTjAhYNPgKsD1,https://api.spotify.com/v1/audio-analysis/3XDJAN1UaoTjAhYNPgKsD1,186760,4,California Country
6365,2VSE07HHK9dm5sHigwbMW9,0.744,0.768,4,-5.321,0,0.0719,0.0172,0,0.306,0.705,92.21,audio_features,2VSE07HHK9dm5sHigwbMW9,spotify:track:2VSE07HHK9dm5sHigwbMW9,https://api.spotify.com/v1/tracks/2VSE07HHK9dm5sHigwbMW9,https://api.spotify.com/v1/audio-analysis/2VSE07HHK9dm5sHigwbMW9,243000,4,Arrest Me
6366,0A2RoE32OaiIOF50GWDCYE,0.795,0.676,5,-5.514,1,0.0415,0.0155,9.15e-06,0.11,0.627,124.872,audio_features,0A2RoE32OaiIOF50GWDCYE,spotify:track:0A2RoE32OaiIOF50GWDCYE,https://api.spotify.com/v1/tracks/0A2RoE32OaiIOF50GWDCYE,https://api.spotify.com/v1/audio-analysis/0A2RoE32OaiIOF50GWDCYE,206813,4,Bar Stool
6367,1vLKMKnGSQjSZTojQsce8D,0.631,0.892,9,-4.239,1,0.158,0.0771,0,0.0897,0.672,107.927,audio_features,1vLKMKnGSQjSZTojQsce8D,spotify:track:1vLKMKnGSQjSZTojQsce8D,https://api.spotify.com/v1/tracks/1vLKMKnGSQjSZTojQsce8D,https://api.spotify.com/v1/audio-analysis/1vLKMKnGSQjSZTojQsce8D,160190,4,Shotgun Shells & Shine
6368,0LMRPATViz6KorXS0EcttW,0.734,0.805,2,-5.516,1,0.104,0.00863,3.3e-06,0.0702,0.574,114.948,audio_features,0LMRPATViz6KorXS0EcttW,spotify:track:0LMRPATViz6KorXS0EcttW,https://api.spotify.com/v1/tracks/0LMRPATViz6KorXS0EcttW,https://api.spotify.com/v1/audio-analysis/0LMRPATViz6KorXS0EcttW,168793,4,Shine With Me
6369,2CZCXC7vngKdITaOFhHUsB,0.719,0.939,4,-4.981,0,0.0715,0.0225,0,0.157,0.866,112.991,audio_features,2CZCXC7vngKdITaOFhHUsB,spotify:track:2CZCXC7vngKdITaOFhHUsB,https://api.spotify.com/v1/tracks/2CZCXC7vngKdITaOFhHUsB,https://api.spotify.com/v1/audio-analysis/2CZCXC7vngKdITaOFhHUsB,168654,4,Whiskey River
6370,2mIwMC38tPbn7bOvQgyYaz,0.622,0.892,11,-2.786,0,0.327,0.0785,0,0.481,0.754,80.048,audio_features,2mIwMC38tPbn7bOvQgyYaz,spotify:track:2mIwMC38tPbn7bOvQgyYaz,https://api.spotify.com/v1/tracks/2mIwMC38tPbn7bOvQgyYaz,https://api.spotify.com/v1/audio-analysis/2mIwMC38tPbn7bOvQgyYaz,264810,4,For the Outlawz
6371,5JRDAK4fgjhR1GxFQiza6G,0.609,0.66,9,-6.3,0,0.125,0.123,0,0.0792,0.401,82.45,audio_features,5JRDAK4fgjhR1GxFQiza6G,spotify:track:5JRDAK4fgjhR1GxFQiza6G,https://api.spotify.com/v1/tracks/5JRDAK4fgjhR1GxFQiza6G,https://api.spotify.com/v1/audio-analysis/5JRDAK4fgjhR1GxFQiza6G,277575,4,Moonshine On Me
6372,2cFsH2uCToosQ5KKmjbmg4,0.688,0.987,9,-2.582,0,0.369,0.219,0,0.144,0.597,73.027,audio_features,2cFsH2uCToosQ5KKmjbmg4,spotify:track:2cFsH2uCToosQ5KKmjbmg4,https://api.spotify.com/v1/tracks/2cFsH2uCToosQ5KKmjbmg4,https://api.spotify.com/v1/audio-analysis/2cFsH2uCToosQ5KKmjbmg4,225820,4,Addicted
6373,7r2489WfMpgLw5yZ928H9m,0.589,0.829,9,-5.207,1,0.342,0.0768,0,0.141,0.882,80.147,audio_features,7r2489WfMpgLw5yZ928H9m,spotify:track:7r2489WfMpgLw5yZ928H9m,https://api.spotify.com/v1/tracks/7r2489WfMpgLw5yZ928H9m,https://api.spotify.com/v1/audio-analysis/7r2489WfMpgLw5yZ928H9m,247604,3,Whiskey in My Soul
