,index,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,song_name
62,3tLRPt5FOODSP6qudqmCMV,0.707,0.821,1,-3.23,1,0.231,0.491,0,0.173,0.348,87.991,audio_features,3tLRPt5FOODSP6qudqmCMV,spotify:track:3tLRPt5FOODSP6qudqmCMV,https://api.spotify.com/v1/tracks/3tLRPt5FOODSP6qudqmCMV,https://api.spotify.com/v1/audio-analysis/3tLRPt5FOODSP6qudqmCMV,244693,4,Raised Up
63,17wrxCt9GW3FJ3NuTA6XNp,0.759,0.764,7,-5.062,1,0.0338,0.00247,0.0234,0.214,0.572,123.998,audio_features,17wrxCt9GW3FJ3NuTA6XNp,spotify:track:17wrxCt9GW3FJ3NuTA6XNp,https://api.spotify.com/v1/tracks/17wrxCt9GW3FJ3NuTA6XNp,https://api.spotify.com/v1/audio-analysis/17wrxCt9GW3FJ3NuTA6XNp,199847,4,Dead Man's Hand
64,0aM4t0nbEK099tYL4kvJfF,0.678,0.619,2,-7.043,1,0.0387,0.0075,0.0193,0.114,0.36,140.03,audio_features,0aM4t0nbEK099tYL4kvJfF,spotify:track:0aM4t0nbEK099tYL4kvJfF,https://api.spotify.com/v1/tracks/0aM4t0nbEK099tYL4kvJfF,https://api.spotify.com/v1/audio-analysis/0aM4t0nbEK099tYL4kvJfF,180926,4,Lasso
65,3t39KzIoxzA3fNUvrWIzhI,0.865,0.747,6,-3.54,1,0.0857,0.00579,0.000125,0.0695,0.899,119.952,audio_features,3t39KzIoxzA3fNUvrWIzhI,spotify:track:3t39KzIoxzA3fNUvrWIzhI,https://api.spotify.com/v1/tracks/3t39KzIoxzA3fNUvrWIzhI,https://api.spotify.com/v1/audio-analysis/3t39KzIoxzA3fNUvrWIzhI,190512,4,She's Crazy
66,3Q3RWtoQ7eZ7liq8UJwQcj,0.491,0.63,7,-5.554,1,0.0432,0.0648,0.000123,0.384,0.537,170.1,audio_features,3Q3RWtoQ7eZ7liq8UJwQcj,spotify:track:3Q3RWtoQ7eZ7liq8UJwQcj,https://api.spotify.com/v1/tracks/3Q3RWtoQ7eZ7liq8UJwQcj,https://api.spotify.com/v1/audio-analysis/3Q3RWtoQ7eZ7liq8UJwQcj,212188,4,Top Off The Tank
67,3fPMp57yYSUpbVlL4S75xu,0.689,0.761,2,-5.279,1,0.0343,0.00152,0,0.288,0.738,119.994,audio_features,3fPMp57yYSUpbVlL4S75xu,spotify:track:3fPMp57yYSUpbVlL4S75xu,https://api.spotify.com/v1/tracks/3fPMp57yYSUpbVlL4S75xu,https://api.spotify.com/v1/audio-analysis/3fPMp57yYSUpbVlL4S75xu,229002,4,Lady Luck
68,3JfCBD1VgvnIwSxGbDG4mr,0.678,0.751,7,-4.821,1,0.0351,0.275,6.52e-05,0.178,0.215,87.003,audio_features,3JfCBD1VgvnIwSxGbDG4mr,spotify:track:3JfCBD1VgvnIwSxGbDG4mr,https://api.spotify.com/v1/tracks/3JfCBD1VgvnIwSxGbDG4mr,https://api.spotify.com/v1/audio-analysis/3JfCBD1VgvnIwSxGbDG4mr,197679,4,Come On Down
69,6kRWn52Ug6sCyDcsWzubNN,0.565,0.796,0,-5.488,1,0.217,0.415,2.06e-05,0.0989,0.306,160.037,audio_features,6kRWn52Ug6sCyDcsWzubNN,spotify:track:6kRWn52Ug6sCyDcsWzubNN,https://api.spotify.com/v1/tracks/6kRWn52Ug6sCyDcsWzubNN,https://api.spotify.com/v1/audio-analysis/6kRWn52Ug6sCyDcsWzubNN,201160,4,I Earned It
70,1oUoU39rjCleO8K09oG5d2,0.84,0.581,7,-7.615,1,0.265,0.0165,0.0168,0.839,0.532,100.046,audio_features,1oUoU39rjCleO8K09oG5d2,spotify:track:1oUoU39rjCleO8K09oG5d2,https://api.spotify.com/v1/tracks/1oUoU39rjCleO8K09oG5d2,https://api.spotify.com/v1/audio-analysis/1oUoU39rjCleO8K09oG5d2,202060,4,Blacked Out
71,0md49DWLZA4GuMTYZDRAyO,0.69,0.781,1,-7.121,1,0.0841,0.00147,1.17e-05,0.368,0.302,101.986,audio_features,0md49DWLZA4GuMTYZDRAyO,spotify:track:0md49DWLZA4GuMTYZDRAyO,https://api.spotify.com/v1/tracks/0md49DWLZA4GuMTYZDRAyO,https://api.spotify.com/v1/audio-analysis/0md49DWLZA4GuMTYZDRAyO,187937,4,Good Times
